CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
00.332.266/0001-31;2016-11-01;1;2016-11-30;28;;;;;;;;;;;;;;;;462706957.83;461547477.7;2584398;178.589937656661;0.000124;0;-0.015778;-0.022555;0.006777;0
00.332.266/0001-31;2016-12-01;1;2016-12-31;28;22;2;0;0;0;1;0;1;0;0;0;1;0;0;1;463624078.85;461276076.55;2584398;178.484922426809;0.000125;0;0.012449;-0.000588;0.013037;0
00.613.094/0001-74;2016-10-01;1;2016-10-31;159;141;6;2;;4;;;6;;;;;;;;187913452.2;182876585.35;758400;241.134738066983;0;2.8E-05;-9E-05;-9E-05;0;0
00.613.094/0001-74;2016-11-01;1;2016-11-30;160;142;6;2;1;3;0;0;6;0;0;0;0;0;0;0;187617524.69;182796969.34;758400;241.029759150844;0;2.79223447650877E-05;-0.000435;-0.000435;0;0
00.613.094/0001-74;2016-12-01;1;2016-12-30;159;141;6;2;1;3;0;0;6;0;0;0;0;0;0;0;188115185.25;183794746.07;758400;242.345393024789;0;2.77484536907422E-05;0.005458;0.005458;0;0
00.762.723/0001-28;2016-11-01;1;2016-11-30;495;;;;;;;;;;;;;;;;123475408.92;122275752.91;36319906;3.36663186600758;0.000218;0;0.016057;0.006386;0.009671;0
00.762.723/0001-28;2016-12-01;1;2016-12-31;556;549;3;0;0;0;0;0;1;0;0;0;1;0;0;2;123561066.55;122319795.14;36319906;3.36784448561073;0.00022;0;0.010256;0.00036;0.009896;0
00.868.235/0001-08;2016-11-01;1;2016-11-30;7;;;;;;;;;;;;;;;;102560346.59;102045694.82;54316;1878.7409754032;0.00021;0;0.108846;0.104894;0.003952;0
00.868.235/0001-08;2016-12-01;1;2016-12-31;7;1;0;0;0;0;2;0;3;0;0;0;1;0;0;0;102613295.04;101976754.68;54316;1877.47173355917;0.00021;0;0.004224;-0.000676;0.0049;0
01.201.140/0001-90;2016-11-01;2;2016-11-30;561;;;;;;;;;;;;;;;;688339995.3;679452767.5;61019165;11.1350715385896;0.000796;0;0.072985;0.065806;0.007179;0
01.201.140/0001-90;2016-12-01;2;2016-12-31;591;581;5;0;0;0;3;0;1;0;0;0;0;0;0;1;691940372.86;679441306.74;61019165;11.1348837162882;8.2E-05;0;0.011934;-1.7E-05;0.011951;0
01.235.622/0001-61;2016-12-01;2;2016-12-30;52;37;;;;;;;;;;;;1;14;;2092341121.59;2021615953.51;692257;2920.32576558995;0.0005;0;-0.088336;-0.1577;0.069364;0
01.356.517/0001-80;2016-11-01;1;2016-11-30;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253515977.1;157734012.27;56701;2781.85591559232;0.0004;0;0.0314;0.0314;;
01.356.517/0001-80;2016-12-01;1;2016-12-31;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;258651715.97;129154258.01;56701;2277.81270189238;0.0004;0;0.0314;0.0314;;
01.497.954/0001-14;2016-11-01;1;2016-11-30;5;;;;;;;;;;;;;;;;125218501.18;124554117.89;8703994;14.3099958352453;0.000112;0.000116;0.00322;0.00322;0;0
01.497.954/0001-14;2016-12-01;1;2016-12-31;6;3;3;;;;;;;;;;;;;;125391604.94;124747748.47;8703994;14.3322420109665;0.000114;0;0.003261;0.001555;0.001706;0
01.601.918/0001-59;2016-11-01;2;2016-11-30;8;;;;;;;;;;;;;;;;65841788.31;65811593.23;500000;131.62318646;0.00042;1.3E-05;0.02739;0.02739;0;0
01.601.918/0001-59;2016-12-01;1;2016-12-31;8;0;0;1;0;0;0;0;1;0;0;0;0;0;0;6;63490734;63411524.22;500000;126.82304844;0.000467;1.1E-05;0.005317;-0.036469;0.041786;0
01.633.741/0001-72;2016-10-01;1;2016-10-31;233;;;;;;;;;;;;;;;;92748867.12;92390852.85;508008;181.868893501677;0.0002067;2.1E-05;0.0018454;0.0005804;0.001265;
01.633.741/0001-72;2016-11-01;1;2016-11-30;241;;;;;;;;;;;;;;;;92740481.04;92423139.68;508008;181.932449252768;0.000205;2.1E-05;0.001723;0.000349;0.001374;
01.633.741/0001-72;2016-12-01;1;2016-12-29;241;229;2;;;;1;;7;;;;2;;;;67761265.6;67560023.12;508008;132.990077164139;0.00027;2.9E-05;-0.262418;-0.269014;0.006596;
01.636.325/0001-28;2016-11-01;1;;4;;;;;;;;;;;;;;;;214193584.33;210560069.41;233608;901.339292361563;0.002999;0.000108;0.007045;0.000843;0.006202;0
01.636.325/0001-28;2016-12-01;2;2016-12-31;4;;4;;;;;;;;;;;;;;226131249.15;222432980.24;233608;952.163368720249;0.00305864773314451;0.000112558816134302;0.063715;0.056387;0.007328;0
01.657.856/0001-05;2016-11-01;1;2016-11-30;85;;;;;;;;;;;;;;;;49298933.18;48803373.37;4200000;11.619850802381;0.003416;0.000448;0.006966;0.000288;0.006678;0
01.657.856/0001-05;2016-12-01;1;2016-12-31;88;84;4;;;;;;;;;;;;;;47246149.07;46764001.52;4200000;11.1342860761905;0.00388809648640179;0.000514006270180277;-0.035098;-0.041788;0.00669;0
01.964.775/0001-40;2016-10-01;1;2016-10-31;6;;;;;;;;;;;;;;;;1275832.82;826051.92;12583000;0.065648249225145;0.1132;;0.00572;0.00572;;
01.964.775/0001-40;2016-11-01;1;2016-11-30;6;;;;;;;;;;;;;;;;1536707.84;1084050.9;12583000;0.0861520225701343;0.072386;0;0.008685;0.008685;0;
01.964.775/0001-40;2016-12-01;3;2016-12-31;6;;1;;;;;;5;;;;;;;;1557716.55;1108738.71;12583000;0.0881140197091314;0.028924;0;0.022774;0.022774;0;
02.027.437/0001-44;2016-11-01;1;2016-11-30;12;;;;;;;;;;;;;;;;68400939.57;67977292.67;140000;485.5520905;0.000276;0;-0.08883;-0.092863;0.004033;0
02.027.437/0001-44;2016-12-01;1;2016-12-31;12;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;68506167.52;68207998.37;140000;487.199988357143;0.000275;0;0.007508;0.003394;0.004114;0
02.508.235/0001-14;2016-11-01;2;2016-11-30;5;;;;;;;;;;;;;;;;76055974.23;75826800.96;17100;4434.31584561403;0.000453;0;0.061627;0.048312;0.013315;0
02.508.235/0001-14;2016-12-01;1;2016-12-31;5;4;1;;;;;;;;;;;;;;76043003.63;75793938.86;17100;4432.39408538012;0.000454;0;0.012372;-0.000433;0.012805;0
03.251.720/0001-18;2016-10-01;1;2016-10-31;838;;;;;;;;;;;;;;;;307484126.94;303852960.01;750000;405.137280013333;0.00029;1E-05;0.00466;6E-05;0.0046;
03.251.720/0001-18;2016-11-01;1;2016-11-30;838;;;;;;;;;;;;;;;;307529423.44;303936313.75;750000;405.248418333333;0.000297;9E-06;0.004592;0.000274;0.004318;
03.251.720/0001-18;2016-12-01;1;2016-12-29;832;817;8;;;;;;4;;;;2;1;;;276261424.22;272503008.31;750000;363.337344413333;0.000349;1E-05;-0.098959;-0.1034;0.004441;
03.507.519/0001-59;2016-11-01;1;2016-11-30;1096;;;;;;;;;;;;;;;;354611616.08;353604268.82;578353;611.39869391185;0.000107;0;0.006701;0.001297;0.005404;0
03.507.519/0001-59;2016-12-01;1;2016-12-31;1105;1091;7;0;0;0;0;0;0;0;0;0;1;0;0;6;356251528.37;352038076.96;578353;608.690673273935;0.000108;0;0.009833;-0.004429;0.014262;0
03.683.056/0001-86;2016-11-01;1;2016-11-30;3799;;;;;;;;;;;;;;;;247376746.78;246679897.3;138509272;1.78096306289156;0.000565;6.1E-05;-0.011549;-0.018;0.006451;0
03.683.056/0001-86;2016-12-01;1;2016-12-31;3883;3854;8;0;0;0;0;0;6;0;0;0;2;2;0;11;247572820.69;246594520.87;138509272;1.78034666783896;0.000519;6E-06;0.006203;-0.000346;0.006549;0
03.855.441/0001-63;2016-11-01;1;2016-11-30;2;;;;;;;;;;;;;;;;2265088033.66;149994491.31;144210661;1.04010681505718;0.000751;4E-06;0.037425;0.037425;0;0
03.855.441/0001-63;2016-12-01;1;2016-12-31;2;;1;;1;;;;;;;;;;;;2100726204.74;110620452.33;144210661;0.767075412891979;0.000727;0.000675;-0.018752;-0.018752;0;0
04.141.645/0001-03;2016-11-01;1;2016-11-30;1770;;;;;;;;;;;;;;;;220681458.09;213066965.38;69033500;3.08642855106579;0.000954;0.000562;0.004607;0.000574;0.004033;0
04.141.645/0001-03;2016-12-01;1;2016-12-31;1785;1760;25;;;;;;;;;;;;;;191363722.73;183261541.09;69033500;2.65467549943144;0.00121429716609615;0.00070936754775055;-0.133641;-0.139888;0.006247;0
04.782.236/0001-88;2016-10-01;1;2016-10-31;3;;;;;;;;;;;;;;;;433364843.64;389031068.84;2355484;165.159716151755;0.00025;6.4E-05;0.0104609;0.0005919;0.009869;
04.782.236/0001-88;2016-11-01;1;2016-11-30;3;;;;;;;;;;;;;;;;432383709.46;389167132.5;2355484;165.21748078102;0.0002702;6.13E-05;0.007432;0.00035;0.007082;
04.782.236/0001-88;2016-12-01;2;2016-12-30;3;;1;;;;1;;;;;;;1;;;465055601.76;418842047.85;2355484;177.81570490396;0.000255;5.7E-05;0.085588;0.078083;0.007505;
05.437.916/0001-27;2016-10-01;1;2016-10-31;680;;;;;;;;;;;;;;;;125427068.01;124848688.29;355000;351.686445887324;0.000305;1.6E-05;0.0034869;0.0003869;0.0031;
05.437.916/0001-27;2016-11-01;1;2016-11-30;682;;;;;;;;;;;;;;;;125378458.9;124820781.93;355000;351.607836422535;0.000305;1.6E-05;0.002905;-0.000223;0.003128;
05.437.916/0001-27;2016-12-01;1;2016-12-29;681;671;1;;;;2;;;;;;5;2;;;118080507.16;117539620.7;355000;331.097523098592;0.000324;1.7E-05;-0.057991;-0.058332;0.000341;
06.175.262/0001-73;2016-10-01;1;;445;;;;;;;;;;;;;;;;37183638.42;36744057.58;236000.00001751;155.695159225736;0.000304868344374067;0;0.013682;0.002384;0.011298;0
06.175.262/0001-73;2016-11-01;1;;444;;;;;;;;;;;;;;;;37197009.8;36746441.74;236000.00001751;155.705261598617;0.000305;0;0.011636;6.5E-05;0.011571;0
06.175.262/0001-73;2016-12-01;1;2016-12-30;445;440;3;;;;;;;;;;1;1;;;38115052.27;37662618.32;236000.00001751;159.587365750871;0.000297;0;0.036145;0.024932;0.011213;0
07.000.400/0001-46;2016-10-01;1;2016-10-31;3507;;;;;;;;;;;;;;;;505454241.53;495420647.92;130000;3810.92806092308;0.000129;0;0.00566931;0.005611;5.831E-05;0
07.000.400/0001-46;2016-11-01;1;2016-11-30;3507;3344;157;;;;;;;;;;;;;;506131921.64;495456368.71;130000;3811.20283623077;1.521E-06;6.38E-07;0.00672;0.006656;6.4E-05;0
07.000.400/0001-46;2016-12-01;1;2016-12-30;3495;3338;157;0;0;0;0;0;0;0;0;0;0;0;0;0;484479947.52;474004200.09;130000;3646.18615453846;0.000163;7.3E-05;-0.037404;-0.043497;0.006093;0
07.583.627/0001-61;2016-10-01;1;2016-10-31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2885166407.46;1559301309.55;224952;6931.70680656318;0.000119;0;0.002206;0.002206;;
07.583.627/0001-61;2016-11-01;1;2016-11-30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2889039510.12;1562546185.44;224952;6946.13155446495;0.000118;0;0.002081;0.002081;0;0
07.583.627/0001-61;2016-12-01;1;2016-12-31;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3122458284.05;1788303609.37;224952;7949.71198020022;0.000103;0;0.14448;0.14448;0;0
07.789.135/0001-27;2016-09-01;1;2016-09-30;52;49;;;;;1;;;;;;;2;;;1241269193.93;1114357272.2;451113;2470.23976741969;0.000332;0;0.004788;0.004665;0.000123;0
07.789.135/0001-27;2016-10-01;1;2016-10-31;52;;;;;;;;;;;;;;;;1247004982.05;1121668458.39;451113;2486.44676254065;6.5E-05;0;0.006561;0.006561;0;0
07.789.135/0001-27;2016-11-01;1;2016-11-30;52;;;;;;;;;;;;;;;;1252279863.66;1129417400.8;451113;2503.62414915997;1.7E-05;0;0.006908;0.006908;0;0
07.789.135/0001-27;2016-12-01;1;2016-12-31;52;49;;;;;1;;;;;;;2;;;1343472697.51;1198882020.56;451113;2657.60911470075;0.000100246594693164;0;0.08176;0.061505;0.020255;0
08.417.532/0001-30;2016-11-01;1;2016-11-30;2;;;;;;;;;;;;;;;;1211812632.43;-45720407.09;46971;-973.375212152179;0.003861;1.8E-05;0.05607;0.05607;0;0
08.417.532/0001-30;2016-12-01;1;2016-12-31;2;;2;;;;;;;;;;;;;;1403063796.74;143489937.07;46971;3054.86229950395;0.001422;5E-06;4.138422;4.138422;0;0
08.693.497/0001-82;2016-10-01;1;2016-10-31;53;;;;;;;;;;;;;;;;140519999.39;140158731.43;550084;254.795142978163;0.00027;5.7E-05;0.007251;0.007251;0;0
08.693.497/0001-82;2016-11-01;1;2016-11-30;53;;;;;;;;;;;;;;;;141570105.36;140448955.45;550084;255.322742435701;0.000461;5.3E-05;0.007409;0.002071;0.005338;0
08.693.497/0001-82;2016-12-01;3;2016-12-30;53;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125156837.84;124016170.11;550084;225.449513365231;0.000325;6.5E-05;-0.111675;-0.117002;0.005327;0
08.696.175/0001-97;2016-11-01;1;;2805;;;;;;;;;;;;;;;;158629440.24;157951835.33;927162;170.360557626391;0.000107;0;0.007407;1.2E-05;0.007395;0
08.696.175/0001-97;2016-12-01;1;2016-12-31;2844;2833;9;;;;;;;1;;;1;;;;158708523.07;158199094.95;927162;170.627242003016;0.000107;0;0.009018;0.001565;0.007453;0
09.006.914/0001-34;2016-10-01;1;2016-10-31;2316;;;;;;;;;;;;;;;;130670567.86;124942769.73;1851786;67.4714949405601;9.2E-05;0;0.012313;-0.029635;0.041948;0
09.006.914/0001-34;2016-11-01;1;2016-11-30;2387;;;;;;;;;;;;;;;;126744855.13;125453684.08;1851786;67.7473985006907;9.2E-05;0;0.011719;0.004731;0.006988;0
09.006.914/0001-34;2016-12-01;2;2016-12-30;2462;2430;12;0;0;0;0;0;20;0;0;0;0;0;0;0;136621038.97;135416759.45;1851786;73.1276505222526;8.7E-05;0;0.064098;0.057122;0.006976;0
09.150.967/0001-24;2016-10-01;1;2016-10-31;1;;;;;;;;;;;;;;;;113085218.58;18674547.99;68613;272.172153819247;0.000223120259844105;0.000111559862177955;0.013095;0.013095;;
09.150.967/0001-24;2016-11-01;1;2016-11-30;1;;;;;;;;;;;;;;;;112427638.43;18786862.92;68613;273.809087490709;0.000221786;0.0001108929;0.006014;0.006014;;
09.150.967/0001-24;2016-12-01;2;2016-12-30;1;;;;;1;;;;;;;;;;;112029785.29;19160254.88;68613;279.251087694752;0.0002174642;0.000108731;0.019875;0.019875;;
09.350.920/0001-04;2016-11-01;2;2016-11-30;55;;;;;;;;;;;;;;;;99382326.04;99349667.04;981472;101.225166932933;0.000304;0;-0.003963;-0.003963;0;0
09.350.920/0001-04;2016-12-01;1;2016-12-31;55;55;;;;;;;;;;;;;;;99408302.9;99354443.9;981472;101.230033969385;0.000304;0;0.007655;4.8E-05;0.007607;0
10.347.505/0001-80;2016-10-01;1;2016-10-31;245;;;;;;;;;;;;;;;;152917736.84;141147939.48;135000.0625;1045.53980839824;0.000555;7.1E-05;0.010483;0.010483;0;0
10.347.505/0001-80;2016-11-01;1;2016-11-30;266;;;;;;;;;;;;;;;;193953586.99;193818940.88;193519.2724;1001.54852008425;0.00044;5.2E-05;0.011366;-0.042062;0.053428;0
10.347.505/0001-80;2016-12-01;1;2016-12-30;267;266;0;0;0;0;0;0;0;0;0;0;1;0;0;0;196195755.42;195997631.46;193519.2724;1012.80678161541;0.000589;5.1E-05;0.011233;0.011233;0;0
10.347.985/0001-80;2016-10-01;1;2016-10-31;2508;;;;;;;;;;;;;;;;218044358.45;217009850.37;2710000;80.0774355608856;0.000676;4.6E-05;0.002907;-0.000554;0.003461;0
10.347.985/0001-80;2016-11-01;1;2016-11-30;2466;;;;;;;;;;;;;;;;217893354.1;216897991.61;2710000;80.0361592656827;0.000674;4.6E-05;0.001983;-0.000515;0.002498;0
10.347.985/0001-80;2016-12-01;1;2016-12-30;2441;2426;4;0;0;0;4;0;0;0;0;0;3;4;0;0;208085543.58;207056936.8;2710000;76.4047737269373;0.000752;4.8E-05;0.004814;0.000441;0.004373;0
10.348.185/0001-83;2016-10-01;1;2016-10-31;649;;;;;;;;;;;;;;;;941893842.18;854773629.21;817554.1363;1045.52541692033;0.000555;2.4E-05;0.010483;0.010483;0;0
10.348.185/0001-83;2016-11-01;1;2016-11-30;628;;;;;;;;;;;;;;;;1080525498.71;1059609913.68;1057971.6234;1001.54852005835;0.000471;2E-05;0.010671;-0.042062;0.052733;0
10.348.185/0001-83;2016-12-01;1;2016-12-30;634;633;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1092259657.05;1071610429.03;1057971.6234;1012.89146639507;0.000589;2.6E-05;0.011325;0.011325;0;0
10.456.799/0001-89;2016-11-01;1;2016-11-30;2;;;;;;;;;;;;;;;;380812891.51;338718611.97;31219;10849.7585435152;0.000742;4.9E-05;0.00845;0.00845;0;0
10.456.799/0001-89;2016-12-01;1;2016-12-31;2;;2;;;;;;;;;;;;;;381976162.4;339878598.37;31219;10886.9149674877;0.00074;0;0.003425;0.003425;0;0
10.456.810/0001-00;2016-11-01;3;2016-11-30;181;;;;;;;;;;;;;;;;59036579.67;58767362.79;463277;126.851457745582;0.0004197;5E-05;0.01525;0.01115;0.0041;0
10.456.810/0001-00;2016-12-01;1;2016-12-31;180;178;1;0;0;0;0;0;0;0;0;0;0;1;0;0;59127025.38;58832061.38;463277;126.991111969729;0.000416;5.1E-05;0.0052;0.001101;0.004099;0
10.522.648/0001-81;2016-12-01;2;2016-12-30;54;53;;;;;;;;;;;1;;;;72612574.98;72265999.97;59466;1215.24904937275;0.000647;3.7E-05;-0.197708;-0.200195;0.002487;0
10.991.914/0001-15;2016-10-01;1;2016-10-31;636;628;3;;;;;;1;4;;;;;;;161004693.37;159311261.64;68518;2325.10087334715;0.0004368;0.000124;0.0083816;0.008303;7.86E-05;
10.991.914/0001-15;2016-11-01;1;2016-11-30;636;628;8;;;;;;;;;;;;;;161076747.14;159370401.16;68518;2325.96399719782;0.0004364;0.0001238;0.008373;0.008294;7.9E-05;
10.991.914/0001-15;2016-12-01;2;2016-12-31;640;632;8;;;;;;;;;;;;;;156128672.34;154417132.42;68518;2253.67250094866;0.000476;0.000128;-0.030998;-0.03108;8.2E-05;
11.044.355/0001-07;2016-10-01;1;;2;;;;;;;;;;;;;;;;201654697.56;148241646.63;13959.88482993;10619.1167359898;0.000129093142413376;3.83935292772726E-05;-3.9E-05;-0.00476;0.004721;0
11.044.355/0001-07;2016-11-01;1;;2;;;;;;;;;;;;;;;;202479053.31;148928095.22;14035.25608762;10610.9994922974;0.000128;4.6E-05;0.004633;-0.000764;0.005397;0
11.044.355/0001-07;2016-12-01;1;2016-12-30;2;;;;;;;;;;;;;2;;;294492189.02;240781892.19;14139.01951612;17029.6032136799;0.000128;4.6E-05;0.612276;0.604901;0.007375;0
11.233.841/0001-65;2016-10-01;1;;1;;;;;;;;;;;;;;;;166924164.93;166851971.14;1310444.47640794;127.324716265246;8.5E-05;4.1E-05;0.020984;0.009107;0.011877;0
11.233.841/0001-65;2016-11-01;1;;1;;;;;;;;;;;;;;;;167715905.48;167325542.88;1310444.47640794;127.68609879501;8.5E-05;4.1E-05;0.009672;0.002838;0.006834;0
11.233.841/0001-65;2016-12-01;1;2016-12-30;1;;;;;;;;;;;;;1;;;166818787.48;165874467.51;1310444.47640794;126.578783379421;8.6E-05;4.1E-05;-6.4E-05;-0.008672;0.008608;0
11.268.335/0001-01;2016-12-01;1;2016-12-30;1;;;;;;;;;;;;;1;;;198416221.19;193323844.77;153.4270025;1260037.94390756;8E-05;7.2E-05;-0.006171;-0.006171;0;0
11.281.322/0001-72;2016-12-01;1;2016-12-30;1801;1778;14;;;;1;;;;;;4;4;;;126295008.25;126147414.93;195000;646.909820153846;0.000298;4E-06;-0.179552;-0.182081;0.002529;0
11.701.400/0001-40;2016-10-01;1;;7;;;;;;;;;;;;;;;;27790913.73;27328930.35;12243472.19789;2.23212254728767;0.000572;0.000403;-0.007636;-0.007636;0;0
11.701.400/0001-40;2016-11-01;1;;7;;;;;;;;;;;;;;;;30197101.47;29750938.94;13300000;2.23691270225564;0.000525;0.00037;0.002146;0.002146;0;0
11.701.400/0001-40;2016-12-01;1;2016-12-30;7;4;1;;;;;;2;;;;;;;;30041750.32;29323782.59;13300000;2.20479568345865;0.000533;0.000828;-0.006155;-0.014358;0.008203;0
11.945.604/0001-27;2016-10-01;1;;304;;;;;;;;;;;;;;;;68192600.06;67034526.69;126522.998804;529.82088097552;0.000382;4.5E-05;-0.036566;-0.039398;0.002832;0.011329
11.945.604/0001-27;2016-11-01;2;;304;;;;;;;;;;;;;;;;66955895.07;66617322.17;126522.998804;526.523421035875;0.000374;4.5E-05;0.008694;0.00571;0.002984;0.011934
11.945.604/0001-27;2016-12-01;2;2016-12-31;305;292;;;;;1;1;4;;;;;6;;1;65993704.96;65592052.15;126522.998804;518.419992965945;0.000402;4.6E-05;-0.012179;-0.012989;0.00081;0.002402
12.358.507/0001-09;2016-10-01;1;2016-10-31;53;;;;;;;;;;;;;;;;639465386.55;637687129.11;400235;1593.28176973528;9.9E-05;0;0.00199;0.00199;0;0
12.358.507/0001-09;2016-11-01;1;2016-11-30;53;;;;;;;;;;;;;;;;642445586.53;641262853.2;400235;1602.21583119917;9.9E-05;0;0.006783;0.006783;0;0
12.358.507/0001-09;2016-12-01;1;2016-12-30;53;53;;;;;;;;;;;;;;;640175701.31;639724098.57;400235;1598.37120334304;0.000109;;0.002513;0.002513;;
12.681.340/0001-04;2016-10-01;1;2016-10-31;4269;;;;;;;;;;;;;;;;146104140.59;144627135.11;1590000;90.9604623333333;0.000439;3.8E-05;0.0086;-0.0001;0.0087;0
12.681.340/0001-04;2016-11-01;1;2016-11-30;4476;;;;;;;;;;;;;;;;147670561.21;146172185.04;1590000;91.9321918490566;0.000433;3.8E-05;0.010217;0.001532;0.008685;0
12.681.340/0001-04;2016-12-01;1;2016-12-30;4624;4600;17;0;0;0;0;1;6;0;0;0;0;0;0;0;154805978.04;152918995.26;1590000;96.1754687169811;0.000458;4E-05;0.066927;0.05573;0.011197;0
12.804.013/0001-00;2016-11-01;1;2016-11-30;1;;;;;;;;;;;;;;;;195643162.23;36298507.26;50000;725.9701452;0.000142;0;-0.00288;-0.00288;0;0
12.804.013/0001-00;2016-12-01;1;2016-12-31;1;;1;;;;;;;;;;;;;;198656401.24;36128077.36;50000;722.5615472;0.000691;0;-0.004695;-0.004695;0;0
12.834.763/0001-17;2016-10-01;1;;236;;;;;;;;;;;;;;;;31463970.27;31324664.9;66085;474.005672996898;0.000356;0;0.004961;0.001878;0.003083;0
